,Unnamed: 0,channel_id,channel_title,description,view_count,subscriber_count,video_count,created_time,uploads,other_links
10,10,UCmVATZGddUN9Xj4NLoSzYcw,Jentilal,"Hey, This is Jentilal and welcome to my Youtube channel For Comedy and Vlogs Videos. Here you will find a lots of videos that related to Comedy & Funny Videos. Thanks For Visiting Us. Guys Keep Supporting us. ",2227523,5890,229,2021-06-30T10:29:53.422788Z,UUmVATZGddUN9Xj4NLoSzYcw,"['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqa3JCSHc4eUJHTG5tTEpNdjVxT0R2Z1ZqM204Z3xBQ3Jtc0tsN0VESURLZjd6blJFSkFDYmdhZDRiblZnOXMyNVBoQXlSeDZKUDlxS1Q3OHpXZ1VhU2FEcEM0c1M1SkhpZFQ2V0dNZEFqMGdrYkFGWkVmU2RnakFWU25XdEFaV09tUVo1VW9ZaWVNTm1sYnUxeE5ucw&q=https%3A%2F%2Finstagram.com%2Fjentilalofficial%3Futm_medium%3Dcopy_link', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqa210WFRsemlNR2QwcGcyWHJWd252TDY5dno4Z3xBQ3Jtc0tsV3RSbm1KSXBMQXlqcXBqdGx0UG1KRzN4NW5BZjNIdkVybU5yREpJWEtFdlN2cFh6TEEwVlZmY0Z2bE1PWDV0U1dzWDRRSFZsUnpIZFhQZHptLU9yVkhDamhmNUdzZmluazFaQ212QzBNTTk2SmVwdw&q=https%3A%2F%2Finstagram.com%2Fwhosatvikgajera%3Figshid%3DYmMyMTA2M2Y%3D']"
11,11,UCNzn3WhDLAfulMSzFzqhqTw,AG !,"Official Channel Of AG! 
Two Brother From another mother Hustling To spread smile on faces 
 
Managed by www.gopalgoyalclicks.com

For Business :-  gopalgoyal444@gmail.com
",19544498,91200,106,2018-09-12T07:03:24Z,UUNzn3WhDLAfulMSzFzqhqTw,"['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbjlVN1J2UklaVElyOUkzblhTTV9DbUEzUUd4UXxBQ3Jtc0tsd2pBOVE0TDFzTWsydzBrRzU1TVR3YmtGMkNaMU9WY1dmRV9vbDlGWkktSmhRYU9ERC03MXp5YWc3M3hLMm10alp1THJTeWFlV1prZ0h0V0RLV1dhR0JFaUkyWm5MMTdHdG10NkdITUxkenBGcDNXOA&q=https%3A%2F%2Fwww.instagram.com%2Fagytofficial%2F', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbTlELVRpUlZubk9QWXVPSURwZFlUbFI4RHZqQXxBQ3Jtc0tsS3Atb2ktTU52S25zRnBmUUR2dFFxNVRsb0dpZDVqUkNzNWhPN1BpeThIeUdNZlRGZnJMbWRNRk53LU5adXFlc2oyZzVQblc4a25iZ3JxdVBIOEpnQndHQjlnNjZheWJ3bmNxNXJoUUloeThXMUlfOA&q=https%3A%2F%2Fwww.gopalgoyalclicks.com%2F', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbEs2OFYtbmNmY3lUTm5OZWRYU19ETmVUSzBQd3xBQ3Jtc0trSXdiUy03a0FITjJnZFpfWXVfUjdzLTI0M0lGWUI3RHBfbk92NUdGZFowcWtHWTlTWXI5THFkNC03YzNNRFkzbWxSMm50QjM3UkN0M0JESE0yRGY4Ql9Ta19tLU13LTRIaVFWWUhaOUI1LUdLa2dQMA&q=https%3A%2F%2Fwww.facebook.com%2Fabhiragaroravines%2F', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqblRZLWlLb1RhUFAtZWZYMGh0a3lqSjlJMUhMQXxBQ3Jtc0ttVGR4NFNhQnRfa3pEUVVST1RWcGhON25xUWk0WEdlbkl0RGV5X0RSaHJXZ2x4eEJkRDNaUW8xSGoxR0JMYVJNeS1sZTd0dzlSUkotSXpnSG41ZkNGZWE1Ym1KYmhrcW54LUpMcTNtZDRYdEYxc1N3NA&q=https%3A%2F%2Fwww.instagram.com%2Fgopalgoyalclicks%2F', 'https://www.youtube.com/channel/UCoJsiMIlQQ8HBMjMFA28fTA']"
12,12,UCLHAyQ3M3Y-GWF3Pov1mFfw,Comedian Vikas Thakur,"Comedian Vikas thakur from shimla Himachal pardesh 
Winner of the show best comedian of himachal pardesh

Winner of DD punjabi show

Video telecast on TV show comedy circus soni tv

__________________________________
 For live comedy shows 

Sponsorship $ collaboration 

Contact 👇👇

Email 
Thakurshimlavikas@gmail.com

==============/////////=======

Facebook



Comedian vikas thakur",1086269,11400,67,2015-08-27T03:41:54Z,UULHAyQ3M3Y-GWF3Pov1mFfw,[]
13,13,UCY5pmgVzfxBXHBjnRnP-alQ,DilSeBuraLagtaHai Bhai,,5141,45,27,2021-02-02T21:08:13.783377Z,UUY5pmgVzfxBXHBjnRnP-alQ,[]
14,14,UC1_-cyLlwnmTAesbMgruDpQ,Nazar Battu,"Watch awesome content created across categories for millennials from Bharat.
For business enquiry you can reach us on
nazarbattu@socioinfluencer.com
nazarbattuproductions@gmail.com 


",573331048,4190000,195,2015-12-10T16:07:20Z,UU1_-cyLlwnmTAesbMgruDpQ,[]
15,15,UC9cpGw2hVv-6G-76HO22jQg,Sudarshan Gurjar,"This channel is dedicated to providing quality education and in-depth analysis of Geography & Environment for the UPSC Civil Services Examination. 

This channel offers comprehensive lessons on various topics of geography by one of the most renowned educators Sudarshan Gurjar. 

Topic Includes:
➜ Physical Geography
➜ Indian Geography
➜ NCERTs Coverage
➜ World Maps and 
➜ Environment & Ecology
➜ Current Affairs

Our lessons are designed to be engaging and easy to understand and are perfect for UPSC aspirants looking to enhance their geography & environment knowledge. 

Subscribe now to stay updated on the latest videos and join the journey to success!
Contact: 9039918319

",5642167,109000,303,2013-08-09T17:36:18Z,UU9cpGw2hVv-6G-76HO22jQg,[]
16,16,UCdSZKaL2R4y-ZX5W57sf2rQ,Priyansh Agarwal,"This channel is all about Competitive Programming and Algorithmic Problem Solving. I will also be posting some of my life experiences related to Coding here itself. 

Subscribers Count:
22/12/2020 - 100
14/01/2021 - 200
10/02/2021 - 500
24/02/2021 - 1000
16/03/2021 - 2500
12/04/2021 - 5000
29/06/2021 - 10000
11/12/2021 - 20000

You can book a 1:1 Competitive Programming Counselling Session at: https://memboro.com/priyansh31dec


",1934597,46600,145,2020-02-20T12:12:07.624428Z,UUdSZKaL2R4y-ZX5W57sf2rQ,"['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbTVSS1hEQUZMWDlzQVFjWXVxUTBUR1VvVkhOZ3xBQ3Jtc0tuV2JEQkJxa04zSVpJS1NkMy11dDVEQjJkUUxkZXpfYzR0MXkxWFZBZ2IwREdTUnl5OXNTdTlwTzJtR3g3cjJPUjUtMlJEdmxrdXRkQ2Y0RThuN2lIVHE4Y2NVdG9jUTRTQ05JUFF4M2xFY1J3aTlUaw&q=https%3A%2F%2Fcodeforces.com%2Fprofile%2FPriyansh31dec', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbEpXT25YV1ducFVXY1ZMMjlZa1ROV2twN1E1d3xBQ3Jtc0trbVJJdWhraHU1b1Y4elpycVF4dzM0ZmtkTllPZHhGTnlsbGJ0UnoyVDNrZHdFbG8wZVpNdjRYTF8wSVZDY0RVUHM4Y2lWRjQ5N0o2N2pacXJXUjJKak5WMHJzbzRidmdOMlpyZzRvRmt2UVBRREMzUQ&q=https%3A%2F%2Fwww.linkedin.com%2Fin%2Fpriyansh-agarwal-88046619a%2F', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbEtid2FVdGVoTnVVLUZxOE5yeDk0TEFQRzd6QXxBQ3Jtc0ttcDFNZkk5ZHFXZ2lUbDRNdkQ1M3JsRmV5NjFVeUNRR3VqTWJkQjhydThrMnlfOXJmdC1SUTAxMnlDblBTWnltVlVjMV9PSE9rcVlJNlNlX3Q4ZTFwZTIwbVZ5U1ZQc3lYVDNCc2JjZWlzWWdtMmpOZw&q=https%3A%2F%2Fwww.instagram.com%2Fpriyansh_agarwal%2F', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbmpHQTM1TV82Q1Jidzk0THFDeV83REd5cW5xQXxBQ3Jtc0tsVnNRVE85ZnlJR0hVMmVBMDJyajJmTFREbkJoQnRGUjJsT3NnSzRaQ3VVMlV2R2RrbnREN0JpTjBiMVpPMTFkZmRtSEV0aU5QWU5UaU1jWXhMOHFHbHpsc1NrQ0VpTVFXeGtGdnhxLWlGcHVDVENyTQ&q=https%3A%2F%2Fdiscord.gg%2Fd2tWndaHTp', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbWM5ZVNNelZHTnIzZ2laaWR3SVpJLThKeldoZ3xBQ3Jtc0ttT1M2cThJcmFmVzBkTy1WQnhpOFN0M3l6SGZJdmVURXVfc1NiVDJjRl9hMkZVVGY0TmJ1SVlseEZfcHE3SnlSZ3QxVlZtR0l2NWVvYnZCbFdRQU5rS2hjeTNNenZsbU9BQkJrcURuZHBqVkR5ZUU1dw&q=https%3A%2F%2Fmemboro.com%2Fpriyansh31dec']"
17,17,UCJihyK0A38SZ6SdJirEdIOw,Gate Smashers,"Gate Smashers is India's no 1 Free education platform for those aspirants who want to just smash the entrance exam like GATE,UGC NET,KVS,NVS,HTET,CTET etc in Computer Science but they are lagging behind due to lack of proper guidance.
                                                    This channel is a brainchild of Varun Singla and Naina Wadhwa Singla,they have added smartwork into the long journey of hardwork of students.

Note: A small Contribution from students required 
1) Subscribe the Channel
2) Like & Comment on videos
3) Do Sharing with others..
Stay Healthy and Keep Learning....
",268700525,1350000,1236,2017-09-25T05:08:33Z,UUJihyK0A38SZ6SdJirEdIOw,[]
18,18,UCDYDsnf5-sljDu8s4GEvJPw,SAURABH DAHIVADKAR,"Maths is Love ❤....
Passionately Mathematician & Motivational Mentor !!
A Mathematical & Motivational Portal.....
Enjoy the Mathematical Concepts and Tricks with daily examples !!",18266083,154000,757,2013-11-23T19:43:56Z,UUDYDsnf5-sljDu8s4GEvJPw,[]
19,19,UCE_uu-BpfKPx8a-sjwBy-rA,Rajat Arora,"We will make sure to let you learn everything and help you rock your subjects...!
Following the passion of teaching from last many years and with the aim of promoting education and providing good quality lectures we are here to help you in every possible way.
you can contact us at : 
Rajatarora16166@gmail.com

Download our official app DeeCee from play store for free notes and other courses as well.

For any other detail : +91 9368508813
8/1087, divine classes , jain bagh.
Saharanpur- 247001 ( Uttar pradesh )",362923358,2060000,1250,2014-04-26T16:07:16Z,UUE_uu-BpfKPx8a-sjwBy-rA,"['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqa3dNbDVPWDIzajNPN0NIRy1xYmZWYk1KV3VjUXxBQ3Jtc0tsbGRzbkFvaDNWMVdFMDhheVBFOVR6UVozS1QtTVA0Skd4M2dpdFBIU1N4eWZ0YTBDNXBmRjk5a2otOVI0XzVXTG0xcG1fTjktQ3VZTFlZdTlFZmIyQjd2eG5pMUxTdG1Ta19RUWx4Z0ViRHRfWjlNWQ&q=https%3A%2F%2Fwww.instagram.com%2Frajat_aroraofficial', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbUdQXzhqQUIyTEdTdTg5anhhS1dxN0tOVDlFd3xBQ3Jtc0trejdOSmU2TDBFb2FOdHJmb2MtUlljd0JlYm9WZnZUUUJNSlRBQ1hFdktfWFdYM3c3dEtkRFBWNzllOWEwZ3JUUlJoUUpuTHVPQjRwa2NnT0xEZ0pCZUVXRHhjeHp2NjB2ZVpNNDAwejlXUGM2Zmd1RQ&q=https%3A%2F%2Fwww.twitter.com%2Frajatarora16166', 'https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbkR1eG8zdjVlQloyLUFTemhaRWwyZDdBbXg2UXxBQ3Jtc0tsZE5nZGpVRktrNkZKRDY3SS1uMlNjbmdIakw2RVJjajIyclFEZUV4UE5VR1ZxeXRlOGtKOWpnbG94U1E1U0FsclBYVDZ4R0YtTFRZUzJPSm9iUXVMRm9DVkxpUGxwLVZLTGRvWUIxN0NGTVBzRVVlZw&q=https%3A%2F%2Fwww.facebook.com%2Frajat.arora.568089']"
20,20,UC3LtEVr13vCHJti1nYv_bFw,RAIL GYANKOSH,"Railgyankosh: As the name says this channel is totally based on Railways, where I upload Train information from around the world, new technologies used, Rail travel vlogs, and much more such content on Railways.
For business inquiry
s.sandeep9996@gmail.com
Thank you.",134394531,1000000,316,2016-09-08T11:47:40Z,UU3LtEVr13vCHJti1nYv_bFw,['https://www.youtube.com/redirect?event=channel_description&redir_token=QUFFLUhqbDQtb2ZpOG44WEJINEwwMDlfYmdxVGEyZ09XZ3xBQ3Jtc0tsNW9ZS1R5LVJRMTRuQlIyVEYtZ1Z6aFA2SHdSZnFDcTc1ZFJVd0tMN0JhaUZEOVlRRXZxN1Y0VWY5N0lyU3Q2MUMtSzBQb2c1b2NMX1hGOXZDZ25ZWi1xMGtCcWtwUUh5RVllQXpYWDZjRGVWODJsMA&q=https%3A%2F%2Fwww.instagram.com%2Frailgyankosh%2F']
21,21,UCkxqJvZRzhM0oaBjbu3ZjFg,Devsnest,"Devsnest is an organization with the aim to create highly skilled individuals by bridging the skill gap between colleges' academic curriculum and industry requirements and kick start their careers with good tech industry jobs. 

We aim to empower India’s 1 Mn youth to become highly skilled and behold the top 3% salaried jobs.

We provide a 6+ months intensive mentorship program for students offering, You can join the course here at https://discord.com/invite/E8YcJpGJKB


",557965,15400,200,2020-06-29T13:49:49.327828Z,UUkxqJvZRzhM0oaBjbu3ZjFg,[]
22,22,UCRzYN32xtBf3Yxsx5BvJWJw,warikoo,"warikoo is a serial entrepreneur, a bestselling author and an online educator

Ankur Warikoo is an internet entrepreneur, and is:
- One of India’s top content creators with a following of 8Mn+ followers across YouTube, LinkedIn, Instagram, Twitter and Facebook
- Bestselling author of Do Epic Shit (2021) and Get Epic Shit Done - Answers to 36 life questions (2022)
- An online educator (conducts courses on entrepreneurship, career management and personal growth, with over 300,000+ students so far) 
- A mentor/investor to first-time entrepreneurs (hoping to help them not make the same mistakes he made when he started up)

He holds an MBA degree from the Indian School of Business (Class of 2006) where he was awarded the Young Leader Award.

He was also part of Fortune Magazine’s 40 under 40 List for India, Forbes Top 100 Digital Creators list 2022, LinkedIn India’s Top Voices for 2018, 2019 and 2020, LinkedIn India’s Spotlight List and India’s Top Executives under 40 by Business Today.
",214606523,2800000,861,2017-08-01T09:30:48Z,UURzYN32xtBf3Yxsx5BvJWJw,[]
23,23,UCWP4FTfQYQ5kaNzfUaiZT9A,Prafull MBA CHAI WALA,"Hello, I am Prafull Billore, founder of MBA CHAI WALA PVT. LTD., a keynote speaker, angel investor, content creator and a leader. I dropped out of MBA five years ago and turned my side hustle, a tea stall, into a full fledged franchise business.

Currently, we are opening all over India and launching another venture, MBA CHAI WALA ACADEMY which will help people become successful through a revolutionary education system. I will personally spill all my secrets of rising to fame and earning money from nearly nothing. 
I am also very proud to talk about our not for profit organisation MBA CHAI WALA FOUNDATION which raises funds for special causes whether it is for cancer patients or relief funds for natural disasters.

This channel has been created to give you motivation, tips, advices , hacks and spill as much as I can and help you all with anything and everything.
I am very thankful for the love and support you guys have shown to me and my team, I hope we all grow upwards together!
",297531859,1650000,959,2019-10-04T09:45:45Z,UUWP4FTfQYQ5kaNzfUaiZT9A,[]
24,24,UCFIgitcrfwvpmAhRp5OKZVw,Gold Janardhan Investor,"Gold Janardhan channel share the information about investing in stock market and financial education. And it is a continuous process of learning.

For any further information whatsapp:- 8050544357
E mail :- goldjanardhan5@gmail.com


Disclaimer:- I am not recommending any particular company to invest it is just sharing a knowledge so before investing take your personal decision because it is your hard earned money.",56637,3560,124,2020-12-25T13:49:38.882715Z,UUFIgitcrfwvpmAhRp5OKZVw,[]
